NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),총 식이섬유(g),칼슘(㎎),철(㎎),철(㎍),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍),레티놀(㎍),베타카로틴(㎍),비타민 D3(㎍),토코페롤(㎎),토코트리에놀(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),비타민 C(㎎),총 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),콜레스테롤(㎎),총 포화 지방산(g),부티르산(4:0)(g),카프로산(6:0)(g),카프릴산(8:0)(g),카프르산(10:0)(g),라우르산(12:0)(g),미리스트산(14:0)(g),팔미트산(16:0)(g),스테아르산(18:0)(g),아라키드산(20:0)(g),미리스톨레산(14:1)(g),팔미톨레산(16:1)(g),올레산(18:1(n-9))(g),박센산(18:1(n-7))(g),가돌레산(20:1)(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),감마 리놀렌산(18:3(n-6))(g),에이코사디에노산(20:2(n-6))(g),아라키돈산(20:4(n-6))(g),에이코사트리에노산(20:3(n-6))(g),에이코사펜타에노산(20:5(n-3))(g),도코사펜타에노산(22:5(n-3))(g),도코사헥사에노산(22:6(n-3))(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 리놀레산(18:2t)(g),트랜스 리놀렌산(18:3t)(g),회분(g),카페인(㎎),성분표출처,발행기관
11,D000020-ZZ-AVG,D000020,음식,품목대표,소양념갈비구이,2019,전국(대표),평균,구이류,육류구이,300,g,-,-,989.15,137,60.1,71.6,26.2,13.9,5.8,1.8,3.5,0,2.8,7.5,85.27,-,6.34,59.1,412.97,632.12,1378.45,19.04,0.23,0.22,127.75,19.23,46.95,-,2.05,0.12,0.25,0.37,0.49,27.81,8.2,0.27,-,2445.18,4731.13,5143.16,1445.09,2517.26,2730.27,2722.34,1675.31,3964.47,1948.21,413.53,3432.6,5424.16,10162.05,3193.14,2497.44,2396.41,186.63,27.2,0,0,0,0.03,0.05,1.99,15.7,9.35,0.06,0.42,1.95,24.27,0.8,0.14,2.38,0.26,0.01,0.02,0.09,0.15,0,0.05,0,3.5,2.84,0.6,0.06,5.1,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
12,D000021-97-AVG,D000021,음식,품목대표,양념왕갈비,2019,수원,평균,구이류,육류구이,150,g,-,-,480.81,71.8,27.1,35.3,13.7,6.8,5.6,0,0.4,0,0.7,1.4,31.21,-,2.93,26.29,174.75,283.01,548.76,8.26,0.11,0.07,47.92,8.95,9.12,-,1.04,0.06,0,0.1,0.26,9.3,0,0,-,1118.9,2238.71,2349.48,678.79,1156.54,1203.47,1341.2,764.16,1756.21,831.9,186.09,1720.23,2464.27,4416.57,1490.68,1142.01,1124.4,58.52,13,0,0,0,0.01,0.03,1,7.44,4.5,0.03,0.21,0.96,11.77,0.36,0.07,1.3,0.09,0,0.01,0.03,0.06,0,0.02,0,2.2,1.83,0.3,0.03,2.1,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
13,D000022-ZZ-AVG,D000022,음식,품목대표,양념장어구이,2019,전국(대표),평균,구이류,어패류구이,150,g,-,-,433.35,76.66,30.77,30.56,8.8,4.18,0.35,1.04,1.5,0,1.29,1.31,215.4,-,8.95,0,381.33,415.97,704.64,0,0,0,0,1444.07,188.59,-,0,0,0.46,0.68,7.23,0,0,0.19,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,215.24,7.1,0,0,0,0,0,1,5,1.1,0,0,1.7,8.7,0.8,0.5,0.9,0.2,0,0.1,0.1,0.1,0.8,0.6,0.6,0.27,0.1,0.1,0.1,3.21,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
14,D000023-ZZ-AVG,D000023,음식,품목대표,임연수구이,2019,전국(대표),평균,구이류,어패류구이,250,g,-,-,494,156.2,53.8,29.4,3.5,0,0,0,0,0,0,1,267.44,-,1.93,112.24,754.08,959.35,1568.96,1.66,0.18,0.09,204.51,40.14,0,-,5.51,0.01,0.15,0.54,4.82,24.87,18.23,0.69,-,1945.96,3782.45,4305.99,1544.21,1961.67,2345.85,2247.74,1166.84,3589.85,1658.93,439.18,2796.82,4851.93,7333.59,2711.87,1843.28,2320.19,212.61,6.1,0,0,0,0,0,1.3,4,0.7,0.1,0.1,2,4.3,1.3,0.9,3.4,0.6,0,0.2,1.3,0.1,2.7,0.3,2.4,1.7,0.1,0.1,0,7.1,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
15,D000024-10-AVG,D000024,음식,품목대표,짚불구이곰장어,2019,기장,평균,구이류,어패류구이,200,g,-,-,326.21,135.1,42.7,16.2,2.3,1.2,0,0.2,1,0,0,8.5,29.52,-,5.94,73.72,371.67,641.05,826.79,4.14,0.63,1.17,174.74,2202.95,0,-,2.2,0,0,0.8,0,83.67,0,1.6,-,1225.11,2498.25,2194.63,1118.05,1339.79,1589.09,1490.65,938.16,2506.78,1103.96,432.36,2094.4,2918.27,4570.44,3371.91,2222.71,1725.88,341.83,2.8,0,0,0,0,0.01,0.45,1.81,0.53,0.04,0.01,0.47,2.79,0.25,0.22,0.21,0.05,0.01,0.02,0.01,0.22,0.31,1.04,0.9,0.1,0.03,0.03,0.13,3.6,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
16,D000025-ZZ-AVG,D000025,음식,품목대표,햄버그스테이크,2019,전국(대표),평균,구이류,육류구이,200,g,-,-,457.7,118.82,26.96,29.65,20.76,5.33,1.21,1.38,2.11,0,0.64,5.67,82.51,-,2.53,48.81,365.08,553.92,950.22,2.97,0.24,0.48,0,14.45,90.95,-,2.64,0.12,0.62,0.26,5.97,0,0,2.77,-,1095.02,1963.67,2191.89,498.19,1119.89,1130.57,1237.97,862.34,1810.14,792.68,188.77,1555.98,2595.02,5216.18,1644.54,1403.2,1198.51,70.28,9.41,0,0,0,0,0,0.5,5.9,2.8,0.1,0.1,0.7,9.8,0.8,0.2,4.3,0.4,0,0.1,0,0.1,0,0,0,0.31,0.2,0.1,0,3.82,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
17,D000026-ZZ-AVG,D000026,음식,품목대표,황태구이,2019,전국(대표),평균,구이류,어패류구이,200,g,-,-,437.57,104.6,47.8,15.4,26.9,14.2,2.3,2.9,2.3,0,6.6,3,280.1,-,2.09,82.09,425.07,621.65,1135.33,1.81,0.19,0.38,144.87,1.64,911.78,-,10.46,0.06,0.06,0.18,0.04,19.3,3.68,0,-,1832.88,3519.91,3908.99,1228.53,1827.94,2082.35,2104.1,926.98,3091.45,1564.65,422.52,2640.93,4699.6,7617.88,2374.15,1589.97,2077.94,211.58,2.4,0,0,0,0,0,0.05,1.72,0.58,0.05,0,0.07,3.39,0.27,0.06,6.4,1.18,0.04,0.01,0,0.02,0.32,0.02,0.45,0.1,0.01,0.07,0.04,5.3,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
18,D000027-ZZ-AVG,D000027,음식,품목대표,훈제오리,2019,전국(대표),평균,구이류,육류구이,250,g,-,-,797.14,126.47,43.06,64.07,12.08,0.27,0.02,0,0.25,0,0,1.36,38.49,-,4.17,41.16,623.67,496.43,1220.37,4.23,0.63,0.12,0,80.65,4.43,-,1.47,0.17,0.6,0.6,8.35,0,0,47.71,-,1737.68,3153.94,3431.98,1023.04,1673.48,1901.19,1918.49,1140.26,3073.46,1462.5,337.79,2592.34,3839.86,6798.75,2734.71,2077.17,1801.85,171,15.98,0,0,0,0,0.1,0.4,12.2,3.2,0,0.1,2,24.6,0.3,0.2,7.8,0.5,0,0.1,0.1,0.4,0,0.1,0,0.39,0.2,0.1,0.1,4.32,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
19,D000028-68-AVG,D000028,음식,품목대표,게국지,2019,태안,평균,국 및 탕류,어패류국.탕,1100,g,-,-,415.25,994.8,44.9,12.1,31.7,10.8,1.3,5,4.1,0,0.3,24.4,1320.57,-,9.68,273.74,695.81,1581.61,4047.26,11.03,4.27,2.74,297.91,0,2392.78,-,13.07,0,0,0.62,0,166.89,0,0,-,1315.19,2379.06,2383.52,623.34,1469.42,1485.06,1606.49,835.38,2972.16,1216.18,375.44,2069.2,3415.94,6669.5,2102.21,1623.24,1465.58,388.15,2,0,0,0,0,0.02,0.19,1.33,0.4,0.04,0,0.57,1.29,0.35,0.11,0.73,1.03,0,0.03,0.03,0.18,0.64,0.18,0.85,0.2,0.03,0,0.13,16.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
20,D000029-98-AVG,D000029,음식,품목대표,곰치국,2019,삼척,평균,국 및 탕류,어패류국.탕,1000,g,-,-,419.29,895,54.3,11.8,23.9,2.8,0,0.9,1.8,0,0,18.7,711.95,-,2.54,176.15,1028.2,1352.68,3802.06,4.15,0.69,0.93,195.6,1390.03,1563.55,-,9.06,0,0.51,0.51,1.04,79.56,0,1.96,-,1761.93,3509.53,3692.38,1231.97,1993.94,2283.76,2140.05,1044.85,3403.67,1805.15,548.62,2693.52,5019.77,10343.89,2854.09,1896.43,2484.99,476.47,1.4,0,0,0,0,0,0.1,1.03,0.23,0,0,0.47,1.7,0.45,0.15,0.6,0.1,0.02,0.03,0,0.25,0.78,0.05,1.13,0.1,0.09,0,0.05,15,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
21,D000030-ZZ-AVG,D000030,음식,품목대표,굴국밥,2019,전국(대표),평균,국 및 탕류,어패류국.탕,650,g,-,-,683,494.6,42.4,17.8,88.4,0.3,0.1,0,0.2,0,0,6.1,194.25,-,12.71,125.52,666.49,529.35,1635.39,31.14,7.65,1.83,190.22,99.04,1066.68,-,8.81,0.19,0.32,0.61,2.68,150.06,-,0,-,1602.24,2995.15,3043.95,918.39,1754.78,1846.79,1935.16,790.4,3242.67,1425.62,602.83,2257.08,3955.51,5944.59,259.35,1686.36,2286.81,518.37,3.9,0,0,0,0,0,0.2,2.9,0.8,0,0,0.4,3.2,0.5,0.3,2,0.3,0,0.1,0,0,1.3,0.1,0.8,0.1,0.1,0,0,6.8,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
22,D000032-ZZ-AVG,D000032,음식,품목대표,김치국,2019,전국(대표),평균,국 및 탕류,채소류국.탕,450,g,-,-,89,425.8,5.4,2.8,10.5,2.9,0.6,1.1,1.2,0,0,4.5,113.75,-,1.55,60.98,116.81,516.39,1642.08,0.73,0.14,0.45,41.43,0,734.11,-,2.27,0.01,0.28,0.15,0,33.74,-,1.78,-,137.02,274.18,267.73,48.01,175.65,170.57,177.56,98.49,287.29,122.27,58.46,278.94,598.5,1450.03,212.42,211.06,207.21,0,0.3,0,0,0,0,0,0,0.2,0.1,0,0,0,0.3,0,0,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,5.4,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
23,D000036-ZZ-AVG,D000036,음식,품목대표,떡만둣국,2019,전국(대표),평균,국 및 탕류,기타 국류,700,g,-,-,624.92,551.86,20.06,11.32,110.71,0.16,0,0.01,0.15,0,0,8.56,99.72,-,21.18,0,250.25,369.91,1980.19,0,0,0,0,0.22,456.45,-,0,0,0.6,1.03,4.59,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,122.42,3.44,0,0,0,0,0,0.1,2.4,0.9,0,0,0.2,3.9,0.2,0.1,2.1,0.1,0,0,0,0.1,0,0,0,0.08,0.1,0,0,6.06,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
24,D000037-ZZ-AVG,D000037,음식,품목대표,만둣국,2019,전국(대표),평균,국 및 탕류,기타 국류,700,g,-,-,434.05,604.87,21.43,17.44,47.83,3.05,0,0.53,1.87,0,0.65,32.12,123.61,-,26.44,0,221.43,509.55,2367.99,0,0,0,0,2.21,710.34,-,0,0,1.31,0.7,6.51,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,94.52,4.24,0.1,0,0,0,0,0.1,2.9,1.1,0,0,0.3,4.8,0.3,0.1,2.7,0.2,0,0,0,0.1,0,0,0,0.05,0,0,0,8.43,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
25,D000038-ZZ-AVG,D000038,음식,품목대표,맑은감자국,2019,전국(대표),평균,국 및 탕류,채소류국.탕,700,g,-,-,221,644.7,8.3,5.5,34.6,5.2,0.8,2,2.4,0,0,5.1,115.56,-,2.26,90.16,159.83,1138.53,1712.29,1.31,0.27,0.5,0.03,0,96.67,-,0.63,0.03,0.55,0.15,0.83,66.29,1.46,7.24,-,212.12,400.75,407.65,100.75,269.94,272.6,310.76,124.01,424.47,196.36,104.7,287.4,1235.76,2044.82,274.7,264.73,266.66,5.46,0.2,0,0,0,0,0,0,0.2,0.1,0,0,0,0.2,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,6.8,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
26,D000039-99-AVG,D000039,음식,품목대표,매생이국,2019,장흥,평균,국 및 탕류,어패류국.탕,500,g,-,-,119,468.8,10,2.8,13.4,0.4,0.1,0,0,0,0.2,9.6,125.77,-,17.57,170.21,101.15,330.05,1420.3,4.81,0.22,0.39,48.76,0,3641.85,-,1.68,0,0.18,0.14,2,33.09,0,3.01,-,344.74,747.65,621.15,214.26,445.12,462.47,466.57,162.01,742.75,326.94,116.93,710.57,1023.46,1806.26,549.97,500.45,471.95,6.62,0.6,0,0,0,0,0,0.01,0.4,0.14,0.01,0,0.01,1,0.06,0.01,1.13,0.14,0,0.08,0,0,0.02,0.01,0.04,0.1,0,0.11,0,4.9,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
27,D000040-ZZ-AVG,D000040,음식,품목대표,무된장국,2019,전국(대표),평균,국 및 탕류,채소류국.탕,450,g,-,-,104,421,6.1,2.4,14.7,5.9,0.2,3.4,2.3,0,0,5.9,90.18,-,1.35,57.27,127.35,553.06,1741.46,0.81,0.17,0.49,28.21,0,158.65,-,2.04,0,0.22,0.12,1.28,32.02,-,0,-,176.97,334.84,279.09,59.98,218.82,194.1,214.62,111.59,303.9,157.01,33.13,268.83,502.63,1636.94,244.69,269.18,245.02,0,0.3,0,0,0,0,0,0,0.2,0.1,0,0,0,0.3,0,0,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,5.9,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
28,D000041-ZZ-AVG,D000041,음식,품목대표,미소된장국,2019,전국(대표),평균,국 및 탕류,채소류국.탕,150,g,-,-,38,141.1,2.8,1.8,2.8,0.7,0.1,0.5,0.1,0,0,0.8,27.34,-,0.53,15.1,39.03,88.07,517.03,0.33,0.06,0.18,5.97,0,128.34,-,1.07,0.01,0.07,0.03,0.37,5.09,-,0.58,-,99.11,191.79,144.89,28.85,123.48,97.87,105.29,57.02,157.99,88.32,32.99,113.99,278.21,616.47,20.46,123.57,129.53,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0.1,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,1.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
29,D000044-ZZ-AVG,D000044,음식,품목대표,바지락조개국,2019,전국(대표),평균,국 및 탕류,어패류국.탕,550,g,-,-,157,508.2,22,3.1,10.1,1.3,0,0.6,0.7,0,0,8,369.14,-,21.35,119.82,266.75,394.16,1596.17,2.6,0.27,1.58,185.9,9.81,561.5,-,2.74,0,0.04,0.17,1.32,48.61,41.75,0.55,-,733.33,1475.53,1542.7,484.58,809.4,984.64,842.45,432.12,1659.95,776.22,264.31,1110.25,2275.35,3256.86,1089.75,781.27,1062.59,89.36,0.6,0,0,0,0,0,0,0.4,0.1,0,0,0.1,0.2,0.1,0,0.3,0.2,0,0,0,0,0.3,0.1,0.3,0,0,0,0,6.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
30,D000046-ZZ-AVG,D000046,음식,품목대표,뼈다귀해장국,2019,전국(대표),평균,국 및 탕류,육류국.탕,1000,g,-,-,714,854.7,74.6,35.7,23.4,5.7,0.9,2.5,2.2,0,0,17,670.27,-,7.06,131.35,671.55,1199.28,3088.21,11.27,0.66,1.16,0.08,11.53,1819.13,-,6.82,0.28,1.24,0.92,5.72,91.69,0.51,19.87,-,2647.58,4921.94,5212.91,1304.08,2765.17,2814.2,3246.74,1728.57,4693.44,2022.05,538.89,4105.15,6230.18,13423.14,5296.81,3640.28,2602.77,321.72,14.3,0,0,0,0,0.1,0.5,8.9,4.7,0.1,0,0.8,14.7,1.1,0.3,6.1,2,0,0.2,0.1,0.2,0,0,0,0.1,0.1,0,0,11.6,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
